Season,TeamID,seed_int
2019,1181,1
2019,1277,2
2019,1261,3
2019,1439,4
2019,1280,5
2019,1268,6
2019,1257,7
2019,1433,8
2019,1416,9
2019,1278,10
2019,1125,11
2019,1396,11
2019,1251,12
2019,1387,13
2019,1463,14
2019,1133,15
2019,1295,16
2019,1300,16
2019,1211,1
2019,1276,2
2019,1403,3
2019,1199,4
2019,1266,5
2019,1138,6
2019,1305,7
2019,1393,8
2019,1124,9
2019,1196,10
2019,1113,11
2019,1385,11
2019,1293,12
2019,1436,13
2019,1297,14
2019,1285,15
2019,1192,16
2019,1341,16
2019,1314,1
2019,1246,2
2019,1222,3
2019,1242,4
2019,1120,5
2019,1235,6
2019,1459,7
2019,1429,8
2019,1449,9
2019,1371,10
2019,1326,11
2019,1308,12
2019,1318,13
2019,1209,14
2019,1101,15
2019,1233,16
2019,1438,1
2019,1397,2
2019,1345,3
2019,1243,4
2019,1458,5
2019,1437,6
2019,1153,7
2019,1279,8
2019,1328,9
2019,1234,10
2019,1388,11
2019,1332,12
2019,1414,13
2019,1330,14
2019,1159,15
2019,1205,16
